Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,902.99,931.80,934.73,899.35,4048270080
05-Jan-2009,929.17,927.45,936.63,919.53,5413910016
06-Jan-2009,931.17,934.70,943.85,927.28,5392620032
07-Jan-2009,927.45,906.65,927.45,902.37,4704940032
08-Jan-2009,905.73,909.73,910.00,896.81,4991549952
09-Jan-2009,909.91,890.35,911.93,888.31,4716499968
12-Jan-2009,890.40,870.26,890.40,864.32,4725049856
13-Jan-2009,869.79,871.79,877.02,862.02,5017469952
14-Jan-2009,867.28,842.62,867.28,836.93,5407880192
15-Jan-2009,841.99,843.74,851.59,817.04,7807350272
16-Jan-2009,844.45,850.12,858.13,830.66,6786039808
20-Jan-2009,849.64,805.22,849.64,804.47,6375229952
21-Jan-2009,806.77,840.24,841.72,804.30,6467829760
22-Jan-2009,839.74,827.50,839.74,811.29,5843829760
23-Jan-2009,822.16,831.95,838.61,806.07,5832160256
26-Jan-2009,832.50,836.57,852.53,827.69,6039940096
27-Jan-2009,837.30,845.71,850.45,835.40,5353260032
28-Jan-2009,845.73,874.09,877.86,845.73,6199179776
29-Jan-2009,868.89,845.14,868.89,844.15,5067060224
30-Jan-2009,845.69,825.88,851.66,821.67,5350580224
02-Feb-2009,823.09,825.44,830.78,812.87,5673269760
03-Feb-2009,825.69,838.51,842.60,821.98,5886309888
04-Feb-2009,837.77,832.23,851.85,829.18,6420449792
05-Feb-2009,831.75,845.85,850.55,819.91,6624030208
06-Feb-2009,846.09,868.60,870.75,845.42,6484100096
09-Feb-2009,868.24,869.89,875.01,861.65,5574369792
10-Feb-2009,866.87,827.16,868.05,822.99,6770169856
11-Feb-2009,827.41,833.74,838.22,822.30,5926459904
12-Feb-2009,829.91,835.19,835.48,808.06,6476460032
13-Feb-2009,833.95,826.84,839.43,825.21,5296650240
17-Feb-2009,818.61,789.17,818.61,789.17,5907820032
18-Feb-2009,791.06,788.42,796.17,780.43,5740709888
19-Feb-2009,787.91,778.94,797.58,777.03,5746939904
20-Feb-2009,775.87,770.05,778.69,754.25,8210590208
23-Feb-2009,773.25,743.33,777.85,742.37,6509300224
24-Feb-2009,744.69,773.14,775.49,744.69,7234489344
25-Feb-2009,770.64,764.90,780.12,752.89,7483639808
26-Feb-2009,765.76,752.83,779.42,751.75,7599969792
